Last Activity Date,部署,Display Name,Meeting Created Count の合計,Read Count の合計,Receive Count の合計,Meeting Interacted Count の合計,Report Period の合計
2022/12/23 0:00,その他,ユーザー3459,84,16184,15995,38,180
2022/12/23 0:00,その他,ユーザー4099,84,4442,15566,28,180
2022/12/23 0:00,その他,ユーザー6070,84,1177,1136,2,180
2022/12/24 0:00,その他,ユーザー7970,84,4678,4475,31,180
2022/12/23 0:00,その他,ユーザー4240,83,3420,3746,131,180
2022/12/24 0:00,その他,ユーザー5131,82,8682,9188,99,180
2022/12/23 0:00,その他,ユーザー5787,82,142,1800,104,180
2022/12/24 0:00,その他,ユーザー6833,82,3105,3179,254,180
2022/12/23 0:00,その他,ユーザー7480,82,5921,5735,248,180
2022/12/24 0:00,その他,ユーザー7972,82,4947,7065,171,180
2022/12/23 0:00,部署 A,ユーザー0711,81,5263,5197,102,180
2022/12/23 0:00,部署 A,ユーザー0784,81,18240,19012,117,180
2022/12/23 0:00,その他,ユーザー6426,81,5288,10728,48,180
2022/12/23 0:00,その他,ユーザー7013,81,3095,2896,27,180
2022/12/24 0:00,部署 A,ユーザー1023,80,10288,21973,37,180
2022/12/23 0:00,部署 A,ユーザー1444,80,2091,2509,10,180
2022/12/23 0:00,その他,ユーザー2962,80,4502,9170,27,180
2022/12/23 0:00,その他,ユーザー3215,80,610,499,4,180
2022/12/23 0:00,その他,ユーザー3493,80,3508,3478,8,180
2022/12/23 0:00,その他,ユーザー7736,80,3543,3005,20,180
2022/12/23 0:00,部署 A,ユーザー0200,78,8737,8973,37,180
2022/12/24 0:00,その他,ユーザー2284,78,4428,4285,9,180
2022/12/23 0:00,その他,ユーザー4839,78,1786,2922,44,180
2022/12/23 0:00,その他,ユーザー6747,78,4431,3848,10,180
2022/12/23 0:00,その他,ユーザー7018,78,3672,3665,30,180
2022/12/23 0:00,その他,ユーザー7581,78,14442,14874,225,180
2022/12/23 0:00,その他,ユーザー5349,77,2711,2701,13,180
2022/12/23 0:00,その他,ユーザー6418,77,3531,3618,122,180
2022/12/23 0:00,部署 A,ユーザー0350,76,7060,18322,27,180
2022/12/23 0:00,その他,ユーザー2477,76,11531,12051,14,180
2022/12/22 0:00,その他,ユーザー2911,76,6189,4688,24,180
2022/12/23 0:00,その他,ユーザー4253,76,4750,8983,145,180
2022/12/23 0:00,その他,ユーザー5565,76,2004,2135,9,180
2022/12/23 0:00,その他,ユーザー6485,76,2934,3802,7,180
2022/12/23 0:00,その他,ユーザー6969,76,10316,9967,54,180
2022/12/23 0:00,部署 A,ユーザー0257,75,4853,7387,49,180
2022/12/23 0:00,部署 A,ユーザー0854,75,4647,4427,4,180
2022/12/23 0:00,その他,ユーザー4072,75,8767,8353,13,180
2022/12/23 0:00,その他,ユーザー5298,75,4277,6300,149,180
2022/12/23 0:00,その他,ユーザー5802,75,12981,14061,88,180
2022/12/23 0:00,その他,ユーザー6244,75,6156,6927,16,180
2022/12/24 0:00,その他,ユーザー6335,75,2117,1554,22,180
2022/12/24 0:00,その他,ユーザー6566,75,33324,34586,15,180
2022/12/23 0:00,その他,ユーザー1772,74,3775,3794,13,180
2022/12/23 0:00,その他,ユーザー2617,74,5690,6752,241,180
2022/12/24 0:00,その他,ユーザー6326,74,1808,1899,100,180
2022/12/23 0:00,その他,ユーザー7279,74,2504,2450,38,180
2022/12/23 0:00,部署 A,ユーザー1218,73,13599,12567,165,180
2022/12/23 0:00,その他,ユーザー2095,73,3763,3602,12,180
2022/12/23 0:00,部署 A,ユーザー0950,72,15265,15281,14,180
2022/12/23 0:00,部署 A,ユーザー1070,71,1989,2274,29,180
2022/12/23 0:00,その他,ユーザー7113,71,665,13091,11,180
2022/12/23 0:00,部署 A,ユーザー0162,70,5796,9007,68,180
2022/12/23 0:00,その他,ユーザー2701,70,3161,2510,24,180
2022/12/23 0:00,その他,ユーザー3606,70,3035,4415,133,180
2022/12/23 0:00,部署 A,ユーザー0675,69,2984,2823,53,180
2022/12/24 0:00,その他,ユーザー2454,69,13271,14801,198,180
2022/12/24 0:00,その他,ユーザー5722,69,6423,8245,66,180
2022/12/23 0:00,その他,ユーザー2036,68,4080,3350,14,180
2022/10/7 0:00,部署 A,ユーザー0651,67,1603,1648,71,180
2022/12/23 0:00,部署 A,ユーザー1133,67,8197,8037,107,180
2022/12/23 0:00,その他,ユーザー3812,67,11254,12612,7,180
2022/12/23 0:00,その他,ユーザー6038,67,3107,5609,74,180
2022/9/30 0:00,その他,ユーザー3292,66,2946,4289,13,180
2022/12/23 0:00,その他,ユーザー4160,66,5228,5219,44,180
2022/12/23 0:00,その他,ユーザー6505,66,4727,4579,31,180
2022/12/23 0:00,その他,ユーザー6600,66,13489,12892,44,180
2022/12/23 0:00,その他,ユーザー7942,66,7378,6697,57,180
2022/12/24 0:00,部署 A,ユーザー0386,65,4065,7644,511,180
2022/12/23 0:00,その他,ユーザー4173,65,707,1480,39,180
2022/11/30 0:00,その他,ユーザー4976,65,852,5299,24,180
2022/12/23 0:00,その他,ユーザー6462,65,3061,3422,11,180
2022/12/23 0:00,部署 A,ユーザー0096,64,13575,13291,58,180
2022/12/23 0:00,その他,ユーザー2102,64,5799,5558,57,180
2022/12/23 0:00,その他,ユーザー2418,64,3987,3943,1,180
